7up;uma lata;330ml;149
abacate;metade;100;232
abacaxi em calda;uma taça;150;184
abacaxi;uma fatia;100;52
abóbora;um pires chá;100;12
açúcar mascavado;uma colher chá;4;14
açúcar;uma colher sopa;25;100
agrião;um prato sobremesa;25;6
água de coco;um copo médio;200ml;41
água tónica;um copo médio;200ml;35
aguardente;um copo médio;100ml;231
aipo;um pires;100;22
alcachofra;um pires;100;17
alface;um pires;100;19
alho;um pires;100;124
almôndegas;uma;50;60
ambrosia;uma porção;200;417
amêijoas;uma porção;100;73
ameixa preta;uma;50;22
ameixa vermelha;uma;50;27
ameixa-passa;uma xícara chá;100;177
amêndoa;uma pires;100;499
amendoim torrado;um pires chá;100;595
amido de milho;uma colher sopa;20;69
ananás;uma fatia;100;55
anchovas;uma porção;100;96
arando;uma porção;100;41
arroz branco cozido;duas colheres sopa;80;88
arroz integ cozido;duas colheres sopa;80;85
atum em água;uma lata;130;150
atum em óleo;uma lata;184;483
aveia em flocos;uma colher sopa;15;49
avelã;uma;3;19
azeite de oliveira;uma colher sopa;10;90
azeitona;10;50;110
bacalhau;uma posta média;100;122
bacon;uma colher sopa;25;142
banana;uma média;100;85
banha;uma colher sopa;20;180
batata cozida;uma média;80;68
batata frita;10 palitos;100;274
berbigão;uma porção;100;53
berinjela;uma colher sopa;30;6
beterraba;um prato sobremesa;35;17
bife a cavalo;uma;140;196
bife à milanesa;uma;160;580
bife à parmegiana;uma;200;700
bife frito;uma;130;330
bolacha água e sal;uma;8;32
bolacha integral;uma;15;74
bolacha maria;uma;15;78
bolacha recheada;uma;15;92
bolo de fubá;uma fatia média;70;193
bolo recheado;uma fatia;140;540
bolo simples;uma fatia;100;160
brigadeiro;uma;30;100
brócolos;um pires chá;60;22
búzios;uma porção;100;89
cabrito;uma porção;100;127
cação;uma posta média;100;100
caipirinha;um copo;100ml;260
caju;uma porção;100;46
camarão;quatro unid médias;100;76
canelone;uma;80;92
carne de soja;uma porção;100;106
carne frango;uma porção;100;107
carne galinha;uma porção;100;235
carne peru magra;uma porção;100;153
carne porco;uma porção;100;285
carne seca;uma porção;100;213
carne vaca;uma porção;100;140
castanha de caju;uma porção;100;609
caviar;uma colher sopa;20;40
cenoura;uma média;100;37
cereja;uma porção;100;48
cerveja;um copo;200ml;98
cerveja s/ álcool;um copo;200ml;44
champagne;uma taça;100ml;70
chantilly;uma colher sopa;20;90
cheeseburger;uma;150;600
chicória;um prato sobremesa;30;6
chocolate amargo;uma tablete;30;185
chocolate branco;uma tablete;30;170
chocolate em barra;uma tablete;30;163
clara de ovo;uma;33;16
coca-cola;uma lata;330ml;149
coelho;uma porção;100;120
cogumelo;um pires chá;80;15
conhaque;um copo médio;100ml;249
coração de galinha;uma;20;27
costela de boi;uma;100;380
costeleta de porco;uma;120;355
couve-de-bruxelas;um pires chá;100;59
couve-flor;um pires chá;100;25
couve-manteiga;um prato sobremesa;50;13
coxa de galinha;uma média;50;221
creme de leite;uma colher sopa;30;75
